param,mean,std,median,min,max,transform,MPF,Actual
alpha_0,-0.9648263119330743,0.6860621140416725,-0.9671992190604658,-3.238780057249273,1.415929414498724,0.6283270006202271,-0.050109073471,-0.1339951637
alpha_1,0.7342524117269164,0.605676476329852,0.727788583144836,-1.7000482897324949,2.9713708378778407,1.426856296006057,0.2725998341,0.33613979908
alpha_10,-0.14917891506600328,0.921159705446625,-0.15089650754772238,-3.134055959038371,3.577516573242876,0.5433190861165397,-0.21545375904,-0.087428498628
alpha_2,-1.7820763239023443,0.6752803842082998,-1.7871668059849966,-4.205804908122696,1.014577555423771,-0.9109946735148231,0.29136957402,0.1720898244
alpha_3,0.7319150833721259,0.6931146904695759,0.7317184914017338,-1.6995950548392493,3.0133855518791415,0.12262520588705761,-0.15853084577,-0.27397302383
alpha_4,-0.12885872911501695,0.767438257424538,-0.14197604907809222,-2.77914779570417,2.7454217227083113,-1.350840461303793,0.067405039125,0.040254122972
alpha_5,2.580378678238855,0.6362187344451078,2.5874662898146594,0.5164195814900436,4.723224356517092,1.2484862325273098,0.084378172295,0.29121391966
alpha_6,0.42565973508852056,0.7589710826181009,0.43001094151018515,-2.1184795304667743,3.135159072150377,0.2912537228351625,-0.020543462829,-0.10575259789
alpha_7,0.11718341863100121,0.7537316359912304,0.11645903598499369,-2.2657160291933347,2.4944032988456706,-1.349525373623904,-0.071985553023,-0.20343484566
alpha_8,2.496459883161685,0.6032111854565748,2.497512402412685,0.5143394527876821,4.671089298690856,0.0670654739191352,-0.24994493699,-0.354403877
alpha_9,1.557257243580716,0.7482073963285831,1.547523891647633,-1.244771765699059,4.2650325166369125,1.8902828872446633,0.78294174431,0.71081865294
beta_0_1,0.001632971824973029,0.27219726835498453,-0.0011309707472635586,-1.010167273077872,0.9575826026288672,0.0004082429562432572,0.00033707162174,-0.063716866367
beta_0_10,1.5903871138118424,0.5978007629654193,1.5609691199280276,-0.3518020768783613,3.9119454493375674,0.3975967784529606,0.33705999909,0.42286089866
beta_0_2,1.5119791796109547,0.27169255225222577,1.5096100525968392,0.6461721352263281,2.540550583825574,0.3779947949027387,-0.0033518817487,0.011782253049
beta_0_3,0.04013782194232431,0.3495540605203144,0.0417419604496647,-1.1708489430132085,1.5569800182350413,0.010034455485581078,-0.42609294332,-0.43356401434
beta_0_4,-1.9422240511254738,0.3237254972508501,-1.9384429751739543,-3.1496498515094773,-0.826072000219998,-0.48555601278136845,-0.080324094609,-0.060396493762
beta_0_5,-0.28140952888707865,0.2699887306155159,-0.28131224750739936,-1.2299423405219148,0.8262902921205183,-0.07035238222176966,0.013380834319,0.056575807463
beta_0_6,-0.02592287190673211,0.34724642071085127,-0.02349308833501538,-1.4905841317430701,1.3899977214366634,-0.006480717976683027,-0.23594896782,-0.28639439517
beta_0_7,-1.1498551111769788,0.3450919358381484,-1.1494986819222492,-2.5957012699452227,0.11599082485925755,-0.2874637777942447,-0.03120072222,-0.013971192763
beta_0_8,-0.10297158215214419,0.26788343465384323,-0.10099400502037653,-1.050536272578475,0.8524585072829548,-0.025742895538036048,0.42500401191,0.42964374724
beta_0_9,1.9449767363999904,0.360238940103868,1.9317656282574283,0.699146928569316,3.460981460728015,0.4862441840999976,0.24494287117,0.23528430051
beta_1_10,-0.13464928866154421,0.5154486867936414,-0.12492997084107711,-2.1381955504034096,1.5398534995103814,-0.033662322165386054,0.009642913849,0.06629097922
beta_1_2,0.04649709423473346,0.2817992022672644,0.04562751800373837,-1.1261278382637416,0.9929345266924077,0.011624273558683364,0.28901251411,0.3039047284
beta_1_3,1.2562047248345478,0.33740772124087,1.2549198243385398,0.11943849492858119,2.691376632779943,0.31405118120863695,0.31898894643,0.41675416188
beta_1_4,1.3312613347394362,0.3421089129802182,1.3270754668508378,0.11333281494554259,2.6393523907411565,0.33281533368485905,-0.05158298754,-0.20113977188
