param,mean,std,median,min,max,transform,MPF,Actual
alpha_0,-0.08560027911179195,0.31036038935679233,-0.08748181643483244,-1.3555039505564213,0.9509293345261336,0.343758526214268,0.2966724079,0.2782499319
alpha_1,-0.6815137673824326,0.32123552699837515,-0.6833761217169516,-1.8042163705367416,0.44880896711574586,-0.41001261266832967,-0.35388709393,-0.39955639168
alpha_2,-1.6184155276835155,0.34050687710893296,-1.6116519369050568,-2.889378549690973,-0.30073141728803576,0.33661123547103877,0.26217069927,0.26532885999
alpha_3,1.8731162024886572,0.2795974815151229,1.87131800886943,0.9536105751564933,2.909244585286586,-0.006090687679893958,0.038307809672,0.066222004749
alpha_4,-1.6293774930163054,0.34949362728838507,-1.6246608934880316,-2.862252190142309,-0.3538801683225416,-0.05446981276963858,-0.081360353678,-0.047452520177
alpha_5,0.8977068943864929,0.2890983189357912,0.8966989370435059,-0.1188862836510694,1.920682449283804,-0.2567460603103359,-0.21499157141,-0.22640697622
alpha_6,0.8755935465572422,0.2921032580232581,0.8803791308987279,-0.1335813996022881,2.117928919380769,-0.3513689722397042,-0.30940511367,-0.36155784477
beta_0_1,0.19693796951594159,0.2613733579397211,0.20045700465590033,-0.7145989066835268,1.0924821772986593,0.049234492378985396,0.046502413571,0.10567586541
beta_0_2,0.8181103991346477,0.24723306981207055,0.819133933706189,-0.034806272687978486,1.7896760038452075,0.20452759978366192,0.20844180288,0.16299603513
beta_0_3,-0.04991289895305697,0.25382453415956274,-0.04888453353864558,-0.9834815537322139,0.7659090079908567,-0.012478224738264243,-0.018708725957,0.025861758276
beta_0_4,1.850189798156662,0.2543925863718387,1.8474386765507518,0.8684738448054111,2.9062765120736356,0.4625474495391655,0.44097550885,0.43091538461
beta_0_5,-1.1341822572871187,0.2580552923938849,-1.1315192179978009,-2.3034746494239022,-0.18616518760164993,-0.2835455643217797,-0.2689238355,-0.24207228443
beta_0_6,-0.13490834748641994,0.25767363967642964,-0.13697134587450338,-1.1290281296002787,0.7530603110220312,-0.033727086871604986,-0.046879072842,-0.027316626925
beta_1_2,1.60262402544231,0.25392155456294446,1.597950515116536,0.6928939973505704,2.5217582118624144,0.4006560063605775,0.389444515,0.41823269149
beta_1_3,-0.8909925648474909,0.24246483666746727,-0.8881331488830829,-1.870982001061141,-0.029753541397705068,-0.22274814121187272,-0.22424018668,-0.18087936537
beta_1_4,0.6429568153565662,0.25126372502026195,0.6438177973228758,-0.29503368868485014,1.4723969319064862,0.16073920383914156,0.16726336124,0.079046721256
beta_1_5,-1.7022588104739311,0.2409392291315425,-1.698974985725458,-2.6548449648390244,-0.8113254132677492,-0.4255647026184828,-0.40992721473,-0.2957968808
beta_1_6,-0.12629035090184942,0.2512309473823338,-0.12795600710626237,-1.1092353422684487,0.9363151524220871,-0.031572587725462356,-0.025272354149,-0.045846035617
beta_2_3,0.5772058678289822,0.24639335350680985,0.5771175009186308,-0.40364270743645875,1.6918449254787735,0.14430146695724555,0.14736546931,0.22005432763
beta_2_4,1.2033874335809653,0.24686345937736454,1.2018947879281066,0.3565115082125349,2.2503997343993545,0.30084685839524133,0.29968453201,0.31980939708
beta_2_5,0.018256511049283993,0.24766042335539776,0.016271808919103813,-1.0014173921276732,0.9390622282578422,0.004564127762320998,-0.00028407038969,-0.037075973352
beta_2_6,0.3636917602149973,0.2601694075017422,0.36132697447451556,-0.6140694382263201,1.28952585632878,0.09092294005374932,0.074454274943,0.10740208268
beta_3_4,-0.489924427774313,0.25942850724890715,-0.4885049727137703,-1.447891263335391,0.40536610773329007,-0.12248110694357825,-0.1056173699,-0.16676416046
beta_3_5,-1.113701763529119,0.23467071349880936,-1.113710646436533,-2.025771268927539,-0.15846312638931115,-0.2784254408822798,-0.28469135923,-0.21353345779
beta_3_6,-1.8032693684218923,0.23312043447833705,-1.8027134692404325,-2.707121413439902,-0.9493598927821831,-0.4508173421054731,-0.44065206573,-0.40851879941
beta_4_5,1.1998205406694344,0.2725317447694131,1.195474058084521,0.2013201121863052,2.4361366700289517,0.2999551351673586,0.29119351702,0.21365163619
beta_4_6,-1.3655544250352578,0.25448453284974776,-1.3626434718756075,-2.249871976357796,-0.3870269754484708,-0.34138860625881445,-0.31366273589,-0.3252979439
beta_5_6,-0.09033225044287876,0.2503913511921711,-0.09105438123813961,-1.1173436563986034,1.0040697330542727,-0.02258306261071969,-0.027656379024,-0.0035693251579
