,sparsity,mean_DKL,HDI_lower,HDI_upper,min_DKL
0,-1.00,0.0544646203573186,0.054464608444774104,0.05446463106110141,0.054464608444774104
1,-0.95,0.054348274135717675,0.05434826826284704,0.05434827836553375,0.05434826637284989
2,-0.90,0.054220328793268525,0.05422032109489133,0.054220334531964204,0.054220319336051453
3,-0.85,0.05407999126508612,0.05407998569109248,0.054079994445866184,0.05407998474119
4,-0.80,0.05392654076006735,0.05392653467937776,0.053926551787139836,0.05392653170515248
5,-0.75,0.05375933550028358,0.05375932837039182,0.05375934984153219,0.05375932505579205
6,-0.70,0.05357789828132289,0.05357787831539295,0.05357797276865438,0.05357787831539295
7,-0.65,0.053381909030339764,0.053381897557233444,0.05338191786008918,0.053381897557233444
8,-0.60,0.053171405000898835,0.05317138679349287,0.053171465642946975,0.05317138679349287
9,-0.55,0.05294674428917505,0.05294673772030824,0.052946751503874775,0.05294673451765784
10,-0.50,0.052708850739006906,0.05270884512331151,0.05270885914731094,0.05270884307017297
11,-0.45,0.052459265479673695,0.05245925930814405,0.0524592707749984,0.052459257906218755
12,-0.40,0.05220035889634661,0.0522003543676418,0.052200366351730004,0.05220035255042925
13,-0.35,0.051935539748153306,0.05193553301502545,0.0519355434711439,0.05193553301502545
14,-0.30,0.051669472095869945,0.05166946714172898,0.05166947875428684,0.05166946677435072
15,-0.25,0.05140835359357601,0.05140834768717706,0.05140835909358151,0.05140834768717706
16,-0.20,0.05116021104476591,0.05116019873935423,0.05116024299926863,0.05116019873935423
17,-0.15,0.05093520012854823,0.05093519528233128,0.05093520822511166,0.050935192077769344
18,-0.10,0.05074599372126843,0.05074600879956637,0.05074602047140746,0.0507440818236941
19,-0.05,0.050608161715567805,0.05060814958705745,0.05060818728044119,0.05060814958705745
20,00.00,0.05054035075243379,0.05054034608853905,0.05054035610168976,0.05054034306785871
21,00.05,0.05056482969154352,0.05056482415711044,0.050564833950942696,0.05056482330625659
22,00.10,0.05070762042865675,0.05070761315150412,0.050707627543469115,0.05070761315150412
23,00.15,0.05099873640148535,0.050998729180736224,0.05099874502366243,0.050998729180736224
24,00.20,0.05147225022414436,0.05147224509071159,0.05147226066344257,0.051472243837846855
25,00.25,0.052166225835019404,0.05216621801986415,0.05216623322739833,0.05216621801986415
26,00.30,0.0531224541391666,0.05312244753201999,0.05312246142206824,0.05312244577034318
27,00.35,0.054385985347984125,0.054385980454023895,0.05438598926016402,0.054385978342016555
28,00.40,0.05600439586714184,0.05600439193028217,0.05600440166024746,0.05600438985386648
29,00.45,0.05802681310870464,0.05802680864963642,0.058026817819687895,0.05802680864963642
30,00.50,0.06050265724856083,0.06050265348936849,0.06050266079657599,0.06050265221707995
31,00.55,0.06348015335686669,0.06348014921356701,0.0634801569748506,0.06348014684896794
32,00.60,0.06700462421732359,0.06700461959211472,0.06700462886935543,0.06700461770300287
33,00.65,0.07111662642830817,0.07111662132799942,0.07111663174112502,0.0711166204416476
34,00.70,0.07585001831433275,0.07585001400280536,0.07585002196302239,0.07585001193142912
35,00.75,0.08123005827758227,0.0812300558993678,0.08123006036081357,0.0812300528471884
36,00.80,0.08727163006523839,0.08727162797830472,0.08727163215595865,0.08727162608785032
37,00.85,0.0939777328230861,0.09397773025104408,0.0939777347987919,0.09397773025104408
38,00.90,0.10133834189784635,0.10133833877633273,0.10133834425955585,0.10133833877633273
39,00.95,0.10932974788928101,0.10932974588313969,0.10932975066621425,0.1093297445207764
40,01.00,0.11791444926508317,0.11791444727355835,0.11791445253011981,0.11791444450819658
