idx,num,logL
-1.00,1,-3284.572856451323
-1.00,2,-3284.5728565689465
-1.00,3,-3284.572856754251
-1.00,4,-3284.5728570612446
-1.00,5,-3284.5728569866797
-1.00,6,-3284.572856700123
-1.00,7,-3284.5728565139325
-1.00,8,-3284.5728566468797
-1.00,9,-3284.572857092758
-1.00,10,-3284.5728570638985
-1.00,11,-3284.572856505415
-1.00,12,-3284.572856718011
-1.00,13,-3284.57285666642
-1.00,14,-3284.5728571229315
-1.00,15,-3284.5728569968396
-1.00,16,-3284.5728567525357
-1.00,17,-3284.5728565496606
-1.00,18,-3284.572856966405
-1.00,19,-3284.5728564892956
-1.00,20,-3284.572856967078
-1.00,21,-3284.572857706268
-1.00,22,-3284.572856834714
-1.00,23,-3284.5728569931025
-1.00,24,-3284.5728564378123
-1.00,25,-3284.5728566937405
-1.00,26,-3284.572856953302
-1.00,27,-3284.572857045581
-1.00,28,-3284.572856656583
-1.00,29,-3284.572862639981
-1.00,30,-3284.5728631770517
-1.00,31,-3284.5728567071333
-1.00,32,-3284.5728566051375
-1.00,33,-3284.5728569283233
-1.00,34,-3284.5728567074952
-1.00,35,-3284.572856851456
-1.00,36,-3284.5728569671637
-1.00,37,-3284.5728568522773
-1.00,38,-3284.5728564654837
-1.00,39,-3284.5728634209604
-1.00,40,-3284.572858006304
-1.00,41,-3284.5728568275954
-1.00,42,-3284.5728568618756
-1.00,43,-3284.5728566709176
-1.00,44,-3284.5728566023217
-1.00,45,-3284.572856525115
-1.00,46,-3284.5728568624586
-1.00,47,-3284.5728567921224
-1.00,48,-3284.5728564744495
-1.00,49,-3284.5728564502006
-1.00,50,-3284.5728568008994
-1.00,51,-3284.5728566257685
-1.00,52,-3284.572856982353
-1.00,53,-3284.5728567136152
-1.00,54,-3284.57285776532
-1.00,55,-3284.5728566796315
-1.00,56,-3284.572856788679
-1.00,57,-3284.572856790719
-1.00,58,-3284.5728570147257
-1.00,59,-3284.57285676199
-1.00,60,-3284.5728571878985
-1.00,61,-3284.572856787122
-1.00,62,-3284.5728566327625
-1.00,63,-3284.5728569419543
-1.00,64,-3284.5728570079827
-1.00,65,-3284.5728568962127
-1.00,66,-3284.572856645871
-1.00,67,-3284.57285654414
-1.00,68,-3284.5728570718943
-1.00,69,-3284.572856688037
-1.00,70,-3284.5728567386213
-1.00,71,-3284.572857314617
-1.00,72,-3284.5728569634994
-1.00,73,-3284.572856641427
-1.00,74,-3284.572856767987
-1.00,75,-3284.572856785098
-1.00,76,-3284.572856823491
-1.00,77,-3284.572856606998
-1.00,78,-3284.5728566459666
-1.00,79,-3284.572856606652
-1.00,80,-3284.5728565725067
-1.00,81,-3284.57285671409
-1.00,82,-3284.572856867814
-1.00,83,-3284.5728565966706
-1.00,84,-3284.572857050662
-1.00,85,-3284.5728569842577
-1.00,86,-3284.5728564619585
-1.00,87,-3284.5728568990417
-1.00,88,-3284.5728568188506
-1.00,89,-3284.572856777456
-1.00,90,-3284.572857152601
-1.00,91,-3284.5728566596836
-1.00,92,-3284.572856903361
-1.00,93,-3284.572856645207
-1.00,94,-3284.572856967593
-1.00,95,-3284.5728564728333
