idx,num,logL
-1.00,1,-3285.1997550142632
-1.00,2,-3284.226994711301
-1.00,3,-3284.344138986091
-1.00,4,-3283.549670551022
-1.00,5,-3294.106850472728
-1.00,6,-3276.8404333991143
-1.00,7,-3290.0034263683237
-1.00,8,-3270.619292605531
-1.00,9,-3274.6175637436213
-1.00,10,-3290.5144530416965
-1.00,11,-3310.4849897166787
-1.00,12,-3285.3683188646223
-1.00,13,-3281.8959342591497
-1.00,14,-3284.980328225347
-1.00,15,-3284.919210018211
-1.00,16,-3285.0082042099243
-1.00,17,-3299.0365651676984
-1.00,18,-3267.508085742121
-1.00,19,-3303.2499341054004
-1.00,20,-3282.958106900459
-1.00,21,-3284.998766353656
-1.00,22,-3294.9301132920627
-1.00,23,-3278.098537857809
-1.00,24,-3302.362839739122
-1.00,25,-3282.9684866355606
-1.00,26,-3307.462900250078
-1.00,27,-3272.4846560721576
-1.00,28,-3278.45440997099
-1.00,29,-3290.9642011387305
-1.00,30,-3302.3525911203596
-1.00,31,-3273.7618125875297
-1.00,32,-3283.1752326669966
-1.00,33,-3327.174556609447
-1.00,34,-3327.386665087808
-1.00,35,-3340.8063922444653
-1.00,36,-3320.641467358617
-1.00,37,-3283.8887442664522
-1.00,38,-3278.4911087827577
-1.00,39,-3291.918172113342
-1.00,40,-3280.843652171752
-1.00,41,-3275.0537404087504
-1.00,42,-3277.2225248286995
-1.00,43,-3280.7698640649214
-1.00,44,-3311.8218903827565
-1.00,45,-3304.8101375120496
-1.00,46,-3279.3915509754324
-1.00,47,-3281.761501853378
-1.00,48,-3294.1534554302784
-1.00,49,-3280.8888022196224
-1.00,50,-3321.4390653262953
-1.00,51,-3332.535839270301
-1.00,52,-3290.5880061972885
-1.00,53,-3289.04053940656
-1.00,54,-3308.9446688238595
-1.00,55,-3288.98577317082
-1.00,56,-3299.3452103504
-1.00,57,-3273.3010500870582
-1.00,58,-3273.971183609562
-1.00,59,-3281.130965800576
-1.00,60,-3306.4004925839363
-1.00,61,-3311.3074706303487
-1.00,62,-3277.8759874250227
-1.00,63,-3293.3608842434196
-1.00,64,-3299.1227230021022
-1.00,65,-3280.6504703863156
-1.00,66,-3299.9825742592566
-1.00,67,-3290.9755602628306
-1.00,68,-3278.8022176454174
-1.00,69,-3324.7717571311255
-1.00,70,-3272.870361292147
-1.00,71,-3307.2056279528642
-1.00,72,-3281.420020050839
-1.00,73,-3276.175076311065
-1.00,74,-3277.2836907582096
-1.00,75,-3282.3759725344967
-1.00,76,-3306.372250866905
-1.00,77,-3276.471927827172
-1.00,78,-3319.517621021184
-1.00,79,-3278.4017056978896
-1.00,80,-3281.1634218375484
-1.00,81,-3294.0139767659857
-1.00,82,-3270.3982737563274
-1.00,83,-3280.98737434989
-1.00,84,-3284.941070572173
-1.00,85,-3302.8305741110426
-1.00,86,-3272.398135078067
-1.00,87,-3284.993331778862
-1.00,88,-3290.8047400848786
-1.00,89,-3291.7829434785326
-1.00,90,-3273.4918936008953
-1.00,91,-3315.966728478726
-1.00,92,-3286.3012352029136
-1.00,93,-3281.931562291446
-1.00,94,-3280.693981214602
-1.00,95,-3283.918675982244
-1.00,96,-3278.6783158171866
-1.00,97,-3277.861913351833
-1.00,98,-3308.3354176256435
-1.00,99,-3285.0547067234593
-1.00,100,-3281.556712145974
-0.95,1,-3277.1018869888267
-0.95,2,-3282.8360360700926
-0.95,3,-3289.9600858778786
-0.95,4,-3294.7087567189483
-0.95,5,-3294.335896481839
-0.95,6,-3288.9335432166145
-0.95,7,-3280.0206459815063
-0.95,8,-3275.3126645937045
-0.95,9,-3317.8464601763935
-0.95,10,-3284.1279210318994
-0.95,11,-3302.1740657107116
-0.95,12,-3274.465408505134
-0.95,13,-3306.811670501772
-0.95,14,-3281.2113755244
-0.95,15,-3278.930529786853
-0.95,16,-3277.087739662964
-0.95,17,-3296.4483709243405
-0.95,18,-3308.16592359024
-0.95,19,-3322.9588000252315
-0.95,20,-3295.559642627345
-0.95,21,-3307.7561792003535
-0.95,22,-3281.276874988741
-0.95,23,-3301.2600593849365
-0.95,24,-3281.478092964441
-0.95,25,-3283.8878240325275
-0.95,26,-3291.3974251194813
-0.95,27,-3311.694271381979
-0.95,28,-3306.446495634799
-0.95,29,-3273.6152523196342
-0.95,30,-3283.002726608729
-0.95,31,-3272.996190507747
-0.95,32,-3330.8776582663886
-0.95,33,-3284.4861073288475
-0.95,34,-3285.426445494506
-0.95,35,-3295.4545959059806
-0.95,36,-3281.3994089757825
-0.95,37,-3273.998236326538
-0.95,38,-3293.4560419883755
-0.95,39,-3301.351987221739
-0.95,40,-3316.962543572209
-0.95,41,-3312.3163210503913
-0.95,42,-3313.6499379394677
-0.95,43,-3293.3122441672463
-0.95,44,-3335.222952767237
-0.95,45,-3282.6732165569433
-0.95,46,-3280.3860359646214
-0.95,47,-3285.617833711659
-0.95,48,-3268.05059929106
-0.95,49,-3282.969166498139
-0.95,50,-3295.612002931266
-0.95,51,-3283.075398893052
-0.95,52,-3305.9442711791685
-0.95,53,-3277.243514235608
-0.95,54,-3282.8807615820197
-0.95,55,-3280.328102928657
-0.95,56,-3289.9426932176357
-0.95,57,-3287.0574098989873
-0.95,58,-3308.071046114378
-0.95,59,-3285.3345200195563
-0.95,60,-3288.187970334643
-0.95,61,-3284.8878472327674
-0.95,62,-3284.622550881187
-0.95,63,-3297.5762220952965
-0.95,64,-3284.9114378904123
-0.95,65,-3307.9871081343763
-0.95,66,-3296.2946574559796
-0.95,67,-3320.4286215259185
-0.95,68,-3318.164330675304
-0.95,69,-3275.4200073827333
-0.95,70,-3302.243881324418
-0.95,71,-3285.4853753623497
-0.95,72,-3285.5977136131396
-0.95,73,-3276.283959179213
-0.95,74,-3280.5350122302607
-0.95,75,-3296.651666429181
-0.95,76,-3296.030795068911
-0.95,77,-3280.9227083876967
-0.95,78,-3297.7109388142
-0.95,79,-3281.097552981073
-0.95,80,-3277.0900546052535
-0.95,81,-3290.4515274427654
-0.95,82,-3283.431691783984
-0.95,83,-3271.1712512443937
-0.95,84,-3275.0079222943295
-0.95,85,-3298.5766544260605
-0.95,86,-3290.560010773421
-0.95,87,-3282.117960662681
-0.95,88,-3298.1987956273124
-0.95,89,-3269.6494425526625
-0.95,90,-3312.1286623713568
-0.95,91,-3281.047861653443
-0.95,92,-3278.292592086216
-0.95,93,-3282.9334480915995
-0.95,94,-3306.525684531263
-0.95,95,-3285.576632627144
-0.95,96,-3279.09765050639
-0.95,97,-3281.485387000082
-0.95,98,-3271.9165405208787
-0.95,99,-3286.3795085643596
-0.95,100,-3320.8463319679468
-0.90,1,-3296.7713323468515
-0.90,2,-3287.7967212316216
-0.90,3,-3283.0104816711487
-0.90,4,-3289.2307601680436
-0.90,5,-3323.4533459376653
-0.90,6,-3280.146061557497
-0.90,7,-3328.6875624709824
-0.90,8,-3314.6214378527084
-0.90,9,-3275.105707126117
-0.90,10,-3278.7624183747853
-0.90,11,-3282.7859105442967
-0.90,12,-3280.327942388918
-0.90,13,-3285.001188019316
-0.90,14,-3282.868859435348
