idx,num,MSE
-0.50,1,0.014240581054758575
-0.50,2,0.014193250504419939
-0.50,3,0.014223859395446483
-0.50,4,0.014196152242202772
-0.50,5,0.014242743688699355
-0.50,6,0.014201297492606702
-0.50,7,0.014206547954048071
-0.50,8,0.014215050892369335
-0.50,9,0.014215804025300127
-0.50,10,0.014212906079499259
-0.50,11,0.014224871516394929
-0.50,12,0.014222843254127503
-0.50,13,0.014239175539002186
-0.50,14,0.014244107561472617
-0.50,15,0.014242142369215657
-0.50,16,0.014193326102069553
-0.50,17,0.014207476701798867
-0.50,18,0.01417304306322482
-0.50,19,0.014204303964591944
-0.50,20,0.014222678809126406
-0.50,21,0.014223699268163992
-0.50,22,0.014219308644034196
-0.50,23,0.01424076422251546
-0.50,24,0.01425087352603093
-0.50,25,0.014182291693900036
-0.50,26,0.014218382473031848
-0.50,27,0.014196936429379534
-0.50,28,0.014234569467834355
-0.50,29,0.014229220873497183
-0.50,30,0.014218020179765513
-0.50,31,0.014225281499886498
-0.50,32,0.014234539844413894
-0.45,1,0.014299055911513765
-0.45,2,0.014302012400969972
-0.45,3,0.01434624296778513
-0.45,4,0.01429752399707001
-0.45,5,0.014330167769042154
-0.45,6,0.01429031741493981
-0.45,7,0.01429536478346451
-0.45,8,0.014274960630601446
-0.45,9,0.014282976574856235
-0.45,10,0.0143364101399683
-0.45,11,0.014289623265902086
-0.45,12,0.014291987412126705
-0.45,13,0.014287528895823114
-0.45,14,0.014319522397915436
-0.45,15,0.014323359690245402
-0.45,16,0.014305384006712536
-0.45,17,0.014311434027729334
-0.45,18,0.014288859906564942
-0.45,19,0.014306452013136718
-0.45,20,0.014270784791066414
-0.45,21,0.01433152343936405
-0.45,22,0.014280187247313196
-0.45,23,0.0143060487918986
-0.45,24,0.014379637016632354
-0.45,25,0.014339752813907187
-0.45,26,0.014429984792909656
-0.45,27,0.014299486334357094
-0.45,28,0.014317894386249568
-0.45,29,0.014312686378958115
-0.45,30,0.014271083890892648
-0.45,31,0.014287298022715028
-0.45,32,0.01426701710202097
-0.40,1,0.01456677535142486
-0.40,2,0.014545926104794932
-0.40,3,0.014597660595687198
-0.40,4,0.014491310661334056
-0.40,5,0.014489670802854286
-0.40,6,0.01445737047692183
-0.40,7,0.014467567798807996
-0.40,8,0.014498291994099861
-0.40,9,0.014588681906243657
-0.40,10,0.014477882998610662
-0.40,11,0.014579157542172524
-0.40,12,0.014564986386302116
-0.40,13,0.014583391018842939
-0.40,14,0.014541434866833337
-0.40,15,0.014545166166008469
-0.40,16,0.01457491592075691
-0.40,17,0.014471938948355238
-0.40,18,0.014474696384311028
-0.40,19,0.014441751592690821
-0.40,20,0.014556210398183455
-0.40,21,0.01445121698678382
-0.40,22,0.014493056996984032
-0.40,23,0.014563655989724285
-0.40,24,0.014589631624106534
-0.40,25,0.014558563426725568
-0.40,26,0.014511503328520546
-0.40,27,0.014522647300637516
-0.40,28,0.014459015760170666
-0.40,29,0.014454253681578762
-0.40,30,0.014519159190844021
-0.40,31,0.014445754874852744
-0.40,32,0.014544566970929129
-0.35,1,0.015066771887755698
-0.35,2,0.01482659861994324
-0.35,3,0.014920316464818085
-0.35,4,0.01480527683811474
-0.35,5,0.014910061227469407
-0.35,6,0.014864068930768094
-0.35,7,0.0146676170458108
-0.35,8,0.014954593238351334
-0.35,9,0.01471557015030927
-0.35,10,0.01480174796258332
-0.35,11,0.014845008474909311
-0.35,12,0.014906952916014425
-0.35,13,0.014787847245281887
-0.35,14,0.014882719677225239
-0.35,15,0.014766032505779052
-0.35,16,0.014920831777765717
-0.35,17,0.014705569888477734
-0.35,18,0.01480229782392855
-0.35,19,0.01488403401966831
-0.35,20,0.014803139660202047
-0.35,21,0.014931505794192617
-0.35,22,0.014868856079052523
-0.35,23,0.01481144861313231
-0.35,24,0.014775690578973504
-0.35,25,0.014926574969783795
-0.35,26,0.014799932603083137
-0.35,27,0.014990529686256738
-0.35,28,0.01479235282972282
-0.35,29,0.014748997020920812
-0.35,30,0.014747136719418465
-0.35,31,0.014914007622110717
-0.35,32,0.014850996299882006
-0.30,1,0.01565093391667541
-0.30,2,0.015428305222432003
-0.30,3,0.015441082728264674
-0.30,4,0.015263742452545446
-0.30,5,0.015419547388020222
-0.30,6,0.01564424043271406
-0.30,7,0.015403390982650221
-0.30,8,0.015235855670623159
-0.30,9,0.015324460886022429
-0.30,10,0.01526874545710863
-0.30,11,0.015220081277463045
