idx,num,logL
-0.50,1,-3290.215101
-0.50,2,-3290.086052
-0.50,3,-3290.079671
-0.50,4,-3289.926595
-0.50,5,-3290.370436
-0.50,6,-3290.120985
-0.50,7,-3290.200135
-0.50,8,-3290.262573
-0.50,9,-3289.668619
-0.50,10,-3290.017291
-0.50,11,-3290.221651
-0.50,12,-3290.131537
-0.50,13,-3289.983969
-0.50,14,-3290.020254
-0.50,15,-3289.870067
-0.50,16,-3290.429607
-0.50,17,-3290.102104
-0.50,18,-3290.477075
-0.50,19,-3290.05179
-0.50,20,-3290.233995
-0.50,21,-3289.99084
-0.50,22,-3290.053985
-0.50,23,-3290.768998
-0.50,24,-3290.124732
-0.50,25,-3290.175348
-0.50,26,-3290.173689
-0.50,27,-3290.579784
-0.50,28,-3290.081222
-0.50,29,-3290.292581
-0.50,30,-3290.053031
-0.50,31,-3290.242049
-0.50,32,-3290.635634
-0.45,1,-3295.251749
-0.45,2,-3294.879011
-0.45,3,-3295.024997
-0.45,4,-3294.859416
-0.45,5,-3294.978761
-0.45,6,-3294.982682
-0.45,7,-3294.74802
-0.45,8,-3295.167382
-0.45,9,-3294.527416
-0.45,10,-3294.947068
-0.45,11,-3295.263853
-0.45,12,-3295.631553
-0.45,13,-3294.979352
-0.45,14,-3294.82253
-0.45,15,-3295.011247
-0.45,16,-3295.234305
-0.45,17,-3295.090359
-0.45,18,-3295.416763
-0.45,19,-3295.056646
-0.45,20,-3294.838688
-0.45,21,-3295.135567
-0.45,22,-3294.990381
-0.45,23,-3295.103642
-0.45,24,-3295.273416
-0.45,25,-3294.791002
-0.45,26,-3294.838484
-0.45,27,-3294.867406
-0.45,28,-3294.694847
-0.45,29,-3294.806392
-0.45,30,-3294.681011
-0.45,31,-3295.016901
-0.45,32,-3295.219281
-0.40,1,-3300.691411
-0.40,2,-3300.735965
-0.40,3,-3301.230027
-0.40,4,-3301.25487
-0.40,5,-3300.435617
-0.40,6,-3300.82195
-0.40,7,-3300.261365
-0.40,8,-3301.183947
-0.40,9,-3300.910829
-0.40,10,-3300.941059
-0.40,11,-3300.935752
-0.40,12,-3300.600473
-0.40,13,-3300.580946
-0.40,14,-3300.556613
-0.40,15,-3301.0884
-0.40,16,-3300.840778
-0.40,17,-3300.669706
-0.40,18,-3300.86235
-0.40,19,-3301.232752
-0.40,20,-3300.942122
-0.40,21,-3300.779984
-0.40,22,-3300.660741
-0.40,23,-3300.890335
-0.40,24,-3301.184873
-0.40,25,-3300.59937
-0.40,26,-3301.006736
-0.40,27,-3300.630471
-0.40,28,-3301.251013
-0.40,29,-3300.99336
-0.40,30,-3300.788873
-0.40,31,-3301.212352
-0.40,32,-3301.405716
-0.35,1,-3308.053387
-0.35,2,-3308.082104
-0.35,3,-3307.649303
-0.35,4,-3307.896484
-0.35,5,-3307.418517
-0.35,6,-3308.224204
-0.35,7,-3308.588993
-0.35,8,-3307.736487
-0.35,9,-3308.139607
-0.35,10,-3308.609197
-0.35,11,-3307.835695
-0.35,12,-3307.992962
-0.35,13,-3308.031148
-0.35,14,-3308.287977
-0.35,15,-3308.231805
-0.35,16,-3307.907404
-0.35,17,-3307.750265
-0.35,18,-3307.89208
-0.35,19,-3308.304787
-0.35,20,-3307.525659
-0.35,21,-3308.345993
-0.35,22,-3307.848396
-0.35,23,-3307.944159
-0.35,24,-3307.937289
-0.35,25,-3308.382893
-0.35,26,-3308.187687
-0.35,27,-3307.744993
-0.35,28,-3307.984796
-0.35,29,-3307.909862
-0.35,30,-3308.974165
-0.35,31,-3308.380685
-0.35,32,-3308.085198
-0.30,1,-3315.393488
-0.30,2,-3314.628581
-0.30,3,-3314.934986
-0.30,4,-3315.390792
-0.30,5,-3315.831895
-0.30,6,-3315.772571
-0.30,7,-3314.202603
-0.30,8,-3316.327778
-0.30,9,-3315.538758
-0.30,10,-3315.055894
-0.30,11,-3315.449003
-0.30,12,-3315.836517
-0.30,13,-3314.854737
-0.30,14,-3315.118615
-0.30,15,-3315.8838
-0.30,16,-3314.822481
-0.30,17,-3315.305871
-0.30,18,-3315.658587
-0.30,19,-3315.684592
-0.30,20,-3314.662413
-0.30,21,-3316.051974
-0.30,22,-3315.261266
-0.30,23,-3315.443375
-0.30,24,-3315.270811
-0.30,25,-3314.80681
-0.30,26,-3315.052192
-0.30,27,-3315.482998
-0.30,28,-3314.255912
-0.30,29,-3314.311235
-0.30,30,-3315.203632
-0.30,31,-3316.072014
-0.30,32,-3315.63262
-0.25,1,-3322.484143
-0.25,2,-3322.87737
-0.25,3,-3323.345638
-0.25,4,-3323.015794
-0.25,5,-3324.174456
-0.25,6,-3323.434966
-0.25,7,-3322.868641
-0.25,8,-3323.719933
-0.25,9,-3322.992122
-0.25,10,-3323.583632
-0.25,11,-3324.513337
