455
5
X0111 1.0
00XX1 1.0
10001 1.0
X00X1 0.5
X00X1 0.5
100X0 0.5
101X0 0.5
01001 0.25
01001 0.25
01001 0.25
01001 0.25
10XXX 1.0
11000 1.0
10110 1.0
X0111 1.0
11X11 1.0
10111 1.0
11000 1.0
100XX 1.0
10111 1.0
X0111 1.0
X0111 1.0
10001 1.0
10011 1.0
10001 1.0
10011 1.0
10111 0.5
10011 0.5
1001X 1.0
11X11 1.0
11XX1 1.0
00000 1.0
11000 1.0
11000 1.0
10001 1.0
10011 0.5
10011 0.5
11000 1.0
11000 1.0
11011 1.0
10111 1.0
11000 1.0
10001 1.0
11000 1.0
11000 1.0
0001X 1.0
101X1 1.0
1100X 1.0
11000 1.0
11XXX 1.0
10001 1.0
11X01 1.0
100XX 1.0
11001 1.0
10011 1.0
11010 1.0
10011 1.0
100XX 1.0
11001 1.0
10111 0.125
10111 0.125
10111 0.125
10111 0.125
10011 0.125
10011 0.125
10011 0.125
10011 0.125
10001 1.0
10001 1.0
1101X 1.0
10001 1.0
10001 1.0
10001 1.0
10X11 1.0
110XX 1.0
11110 1.0
10001 1.0
10001 1.0
10111 1.0
11X0X 1.0
11001 1.0
11000 1.0
10001 1.0
11000 1.0
11XX1 1.0
10111 1.0
11001 1.0
1X0X1 1.0
11XX0 1.0
111X0 1.0
11011 0.25
11011 0.25
11011 0.25
11011 0.25
110X1 0.25
110X1 0.25
110X1 0.25
110X1 0.25
11011 0.5
11011 0.5
1011X 1.0
110X1 1.0
10001 1.0
11011 1.0
100X1 1.0
10001 1.0
10111 1.0
10X11 1.0
11011 1.0
11X10 1.0
10011 1.0
10X11 1.0
1X000 0.25
1X000 0.25
1X000 0.25
1X000 0.25
10001 1.0
10010 1.0
10X11 1.0
10001 1.0
11101 1.0
11001 1.0
10011 1.0
10011 1.0
1100X 1.0
101X1 1.0
11000 1.0
10001 1.0
10010 1.0
0101X 1.0
00001 1.0
11011 1.0
10111 1.0
11000 1.0
100X1 0.5
100X1 0.5
10011 1.0
11011 1.0
10001 1.0
10010 1.0
10011 1.0
10011 1.0
10011 1.0
10001 1.0
10111 1.0
10000 1.0
11011 1.0
110X1 1.0
10111 1.0
10101 1.0
10000 1.0
100X1 1.0
10011 1.0
11100 1.0
11000 1.0
1011X 1.0
11111 1.0
11011 1.0
1X011 1.0
11011 1.0
10X01 1.0
1X001 1.0
10011 1.0
10001 1.0
10011 1.0
10001 1.0
10011 1.0
11011 1.0
11000 1.0
11XX1 1.0
11X00 1.0
10011 1.0
10111 1.0
10011 1.0
11000 1.0
11111 0.5
11111 0.5
1X01X 1.0
10111 1.0
11111 1.0
11011 1.0
1X001 1.0
10011 1.0
10XXX 1.0
01000 1.0
110XX 1.0
10010 1.0
10011 1.0
11111 1.0
01X01 1.0
11111 1.0
10001 1.0
10XX1 1.0
11111 1.0
10001 1.0
1000X 0.5
1000X 0.5
10011 0.5
10001 0.5
110X1 1.0
X0000 1.0
100XX 1.0
10011 1.0
10011 1.0
110XX 1.0
X0000 1.0
10000 1.0
1X111 1.0
10001 1.0
11011 1.0
10001 1.0
100XX 1.0
11000 1.0
00011 1.0
10000 1.0
11111 1.0
11000 1.0
11011 1.0
11011 1.0
10001 1.0
10001 1.0
100X1 1.0
1000X 1.0
11011 1.0
11000 1.0
11000 0.25
11001 0.25
11010 0.25
11011 0.25
11001 1.0
110XX 1.0
10001 1.0
10001 1.0
11001 1.0
10001 1.0
10001 1.0
11111 1.0
10001 1.0
10001 1.0
11111 0.5
11111 0.5
11011 1.0
110X1 1.0
10XX1 1.0
11011 1.0
10001 0.5
10001 0.5
11000 1.0
10000 1.0
11000 1.0
10001 1.0
10000 1.0
10001 1.0
100XX 1.0
10001 1.0
10011 0.5
10011 0.5
10001 1.0
10001 1.0
1001X 1.0
10001 1.0
10011 1.0
10001 1.0
10001 1.0
11000 1.0
100XX 1.0
10001 1.0
11011 0.5
11011 0.5
10011 1.0
10001 1.0
110XX 1.0
10001 1.0
10111 1.0
10011 1.0
10011 1.0
10101 1.0
11X11 1.0
10001 1.0
10001 1.0
100X1 1.0
11010 1.0
10XXX 1.0
11010 1.0
10001 1.0
10001 1.0
X0000 1.0
XX111 1.0
10011 1.0
11011 0.5
11011 0.5
10001 1.0
11011 1.0
10001 1.0
11001 1.0
100X1 1.0
10001 1.0
01001 0.125
01001 0.125
00001 0.125
00001 0.125
11001 0.125
10001 0.125
11001 0.125
10001 0.125
10001 1.0
11000 1.0
10011 1.0
11001 1.0
10001 1.0
10011 1.0
10001 1.0
10001 1.0
11011 1.0
10001 1.0
10011 1.0
X1XXX 1.0
10001 1.0
X0XX1 1.0
11011 1.0
10001 1.0
10011 1.0
11000 1.0
10000 1.0
10001 1.0
10001 1.0
11000 1.0
10111 1.0
100XX 1.0
11000 1.0
10111 1.0
1X011 1.0
10011 1.0
10011 1.0
110XX 1.0
10001 1.0
10000 1.0
10011 1.0
11XXX 1.0
10000 1.0
10011 1.0
10001 1.0
10011 1.0
10001 1.0
10000 1.0
X0111 1.0
01XXX 1.0
10011 1.0
10001 1.0
10001 1.0
11011 1.0
10001 1.0
10111 1.0
10011 1.0
10001 1.0
110X1 1.0
11011 1.0
10011 1.0
10001 1.0
10111 1.0
10111 1.0
11001 1.0
00000 1.0
10011 1.0
10XX1 1.0
10001 1.0
11000 1.0
10001 1.0
10011 1.0
11XXX 1.0
11001 1.0
11111 1.0
10111 1.0
101XX 1.0
10X11 1.0
11111 1.0
10011 1.0
0000X 1.0
11X11 1.0
11X11 1.0
1000X 1.0
11000 1.0
10X11 1.0
10001 1.0
110XX 1.0
11111 1.0
10001 1.0
110X1 1.0
111X1 1.0
11001 1.0
10011 1.0
10011 1.0
10011 1.0
10XXX 1.0
1000X 1.0
1100X 1.0
10X11 1.0
1000X 0.5
1000X 0.5
10001 1.0
10011 1.0
1X0XX 1.0
10111 1.0
X0111 1.0
10000 1.0
10001 1.0
10001 1.0
10001 1.0
11000 1.0
11000 1.0
10001 1.0
11011 1.0
1X1X1 1.0
10011 1.0
10001 1.0
10001 1.0
10X1X 1.0
10001 1.0
110X1 1.0
1100X 1.0
11000 1.0
10001 1.0
1X001 1.0
10001 1.0
10001 1.0
100X1 1.0
111X1 1.0
1X110 1.0
100XX 1.0
10111 1.0
10X11 1.0
10111 1.0
11011 1.0
10000 1.0
10011 1.0
1X111 1.0
10011 1.0
0000X 1.0
1X011 1.0
X0001 1.0
10111 1.0
0000X 1.0
1XX0X 1.0
X0001 0.25
X0001 0.25
X0001 0.25
X0001 0.25
X000X 1.0
00000 0.5
00000 0.5
10001 1.0
10001 1.0
10001 1.0
10001 1.0
11011 1.0
